antigen	n_total	n_bl_pos	pct_bl_pos	n_mix_pos	pct_mix_pos	n_soft_high	pct_soft_high	n_ambiguous	pct_ambiguous
cmv_pp150	9424	5599	59.4	5502	58.4	4725	50.1	4699	49.9
cmv_pp28	9424	5528	58.7	5438	57.7	4173	44.3	5251	55.7
cmv_pp52	9424	6124	65	5283	56.1	4641	49.2	642	6.8
hsv1	9424	6597	70	6206	65.9	5650	60	3774	40
hsv2	9424	1529	16.2	1546	16.4	528	5.6	1518	16.1
ebv_vca	9424	8953	95	8922	94.7	8641	91.7	281	3
ebv_ebna1	9424	8374	88.9	8370	88.8	6946	73.7	1614	17.1
ebv_zebra	9424	8589	91.1	8467	89.8	5693	60.4	2774	29.4
ebv_ead	9424	8114	86.1	8114	86.1	4416	46.9	3870	41.1
hp_omp	9424	2944	31.2	2938	31.2	1713	18.2	2264	24
hp_urea	9424	2386	25.3	2386	25.3	682	7.2	5892	62.5
hp_caga	4754	1112	23.4	1115	23.5	642	13.5	1157	24.3
hp_vaca	9424	1823	19.3	1836	19.5	589	6.2	2293	24.3
hp_groel	9424	3010	31.9	2599	27.6	1731	18.4	868	9.2
hp_catalase	9424	1686	17.9	1686	17.9	684	7.3	8740	92.7
toxo_p22	9424	1414	15	8493	90.1	8493	90.1	363	3.9
bkv_vp1	9424	8984	95.3	8471	89.9	4087	43.4	4384	46.5
jcv_vp1	9424	5432	57.6	3572	37.9	483	5.1	3089	32.8
mcv_vp1	9424	6272	66.6	6121	65	3545	37.6	2576	27.3
hhv6_ie1a	9424	7317	77.6	7317	77.6	1036	11	7987	84.8
hhv6_ie1b	9424	7493	79.5	7065	75	842	8.9	6223	66
hhv7_u14	9424	8928	94.7	7647	81.1	1551	16.5	6096	64.7
ct_pgp3	9424	2025	21.5	2025	21.5	1392	14.8	1126	11.9
ct_mompd	9424	1547	16.4	1547	16.4	1164	12.4	2007	21.3
ct_tarpf2	9424	2234	23.7	2234	23.7	1264	13.4	2303	24.4
ct_mompa	9424	1099	11.7	1106	11.7	539	5.7	3014	32
ct_tarpf1	9424	1846	19.6	1856	19.7	1149	12.2	5069	53.8
kshv_lana	9424	544	5.8	5452	57.9	5452	57.9	2342	24.9
