antigen	n_total	n_hard_seropositive	pct_hard_seropositive	n_soft_high_conf	pct_soft_high_conf	n_soft_low_conf	pct_soft_low_conf	n_ambiguous	pct_ambiguous
cmv_pp150	9424	5599	59.4	4845	51.4	3922	41.6	657	7
cmv_pp28	9424	5528	58.7	4424	46.9	3736	39.6	1264	13.4
cmv_pp52	9424	6124	65	4763	50.5	4233	44.9	428	4.5
hsv1	9424	6597	70	5795	61.5	2993	31.8	636	6.7
hsv2	9424	1529	16.2	704	7.5	7710	81.8	1010	10.7
ebv_vca	9424	8953	95	8726	92.6	518	5.5	180	1.9
ebv_ebna1	9424	8374	88.9	7334	77.8	985	10.5	1105	11.7
ebv_zebra	9424	8589	91.1	6516	69.1	1112	11.8	1796	19.1
ebv_ead	9424	8114	86.1	5318	56.4	1420	15.1	2686	28.5
hp_omp	9424	2944	31.2	1969	20.9	5795	61.5	1660	17.6
hp_urea	9424	2386	25.3	876	9.3	2991	31.7	5557	59
hp_caga	4754	1112	23.4	717	15.1	3330	70	707	14.9
hp_vaca	9424	1823	19.3	852	9	6956	73.8	1616	17.1
toxo_p22	9424	1414	15	6582	69.8	718	7.6	2124	22.5
bkv_vp1	9424	8984	95.3	4957	52.6	1318	14	3149	33.4
jcv_vp1	9424	5432	57.6	952	10.1	6283	66.7	2189	23.2
mcv_vp1	9424	6272	66.6	3946	41.9	3687	39.1	1791	19
hhv6_ie1a	9424	7317	77.6	1471	15.6	1710	18.1	6243	66.2
hhv6_ie1b	9424	7493	79.5	1353	14.4	3610	38.3	4461	47.3
hhv7_u14	9424	8928	94.7	2432	25.8	2362	25.1	4630	49.1
ct_pgp3	9424	2025	21.5	1580	16.8	7041	74.7	803	8.5
ct_mompd	9424	1547	16.4	1312	13.9	6807	72.2	1305	13.8
ct_tarpf2	9424	2234	23.7	1442	15.3	6391	67.8	1591	16.9
